#YR   MO   PREDICTED    HIGH    LOW   PREDICTED  HIGH    LOW
2007  12      4.8        5.5    4.7      67.6    70.4    64.7
2008  01      4.3        4.4    4.2      66.7    69.5    63.8
2008  02      4.0        4.1    3.9      66.1    68.9    63.2
2008  03      4.2        4.3    4.0      65.7    68.6    62.8
2008  04      4.6        4.8    4.4      65.7    68.6    62.7
2008  05      5.2        5.6    4.9      65.6    68.7    62.5
2008  06      5.8        6.3    5.2      65.2    68.5    62.0
2008  07      6.3        7.1    5.5      64.9    68.4    61.4
2008  08      7.4        8.6    6.3      65.1    68.9    61.2
2008  09      8.6       10.2    7.0      65.4    69.6    61.2
